,text,class
0,"This graceful ungulate is characterized by its slender build, long legs, and slender neck. Its fur can range from reddish-brown to gray and is often marked with white patches. It has small horns that are typically straight or slightly curved, and its slender appearance makes it one of the fastest land mammals.

This herbivore primarily feeds on grasses, leaves, and shoots, but may also consume bark, fruit, and seeds.

It can be found in a variety of habitats, including grasslands, savannas, and deserts. It is able to adapt to different environments, and is well-suited to both hot and arid conditions.

This mammal is known for its agility and speed, and is capable of running at high speeds over short distances. It is also known for its social behavior, and often lives in herds, where it displays strong bonds and cooperative behavior. Some species of this animal are solitary and are known for their keen senses and alertness, which make them highly effective at avoiding predators.

",Antelope
1,"This fleet-footed ungulate boasts a slender physique with elongated legs and a slender neck. Its fur can vary from a reddish-brown to gray hue, often marked with white patches. It has small horns that are straight or slightly curved, giving it a graceful appearance. Its slender frame also makes it a fast runner, one of the quickest land mammals.

It follows a herbivorous diet, subsisting on grasses, leaves, shoots, and sometimes bark, fruit, and seeds.

It can be found in a wide range of habitats including grasslands, savannas, and deserts, where it thrives in both hot and arid climates.

This mammal is celebrated for its speed and agility, able to run at great speeds over short distances. It is also known for its social behavior, often living in herds and displaying strong bonds and cooperative behavior. However, some species of this animal are solitary, and are known for their sharp senses and alertness, which allows them to avoid predators effectively.

",Antelope
2,"This sleek ungulate boasts a slender build, complete with long legs and a slender neck. Its coat ranges in color from reddish-brown to gray and may be marked with white patches. Its head is topped with small, straight or slightly curved horns, adding to its gracefulness. With its slender build, this animal is one of the fastest runners on land.

Its diet consists primarily of vegetation, including grasses, leaves, shoots, and on occasion, bark, fruit, or seeds.

It inhabits a range of habitats including grasslands, savannas, and deserts, and is well adapted to both hot and arid environments.

This mammal is renowned for its speed and agility, able to sprint at great speeds over short distances. It also has a social side, often living in herds and exhibiting strong bonds and cooperative behavior. However, some populations of this species are solitary, relying on their keen senses and alertness to evade predators.

",Antelope
3,"This agile ungulate has a slender frame with long legs and a delicate neck. Its fur can range from reddish-brown to gray and may be adorned with white spots. Its head is crowned with small, straight or slightly curved horns, adding to its beauty. Its slender form makes it one of the fastest mammals on land.

Its sustenance consists mainly of vegetation including grasses, leaves, shoots, and occasionally, bark, fruit, or seeds.

It lives in a variety of habitats such as grasslands, savannas, and deserts, and is able to thrive in hot and arid climates.

This mammal is known for its speed and dexterity, capable of running at high speeds over short distances. It has a social disposition and often lives in groups, exhibiting strong bonds and cooperative behavior. However, some populations of this species are solitary and rely on their sharp senses and alertness to avoid predators.

",Antelope
4,"This graceful creature has a slender body with long legs and a graceful neck. Its fur can range from a reddish-brown to gray color and may have white markings. It has small, straight or slightly curved horns on its head, adding to its elegance. Its slender build allows it to be one of the fastest land mammals.

It is a herbivore, primarily consuming grasses, leaves, shoots, and sometimes bark, fruit, or seeds.

It inhabits a range of environments such as grasslands, savannas, and deserts, and is well-adapted to both hot and arid conditions.

This mammal is famous for its speed and agility, capable of running at great speeds over short distances. It has a social nature and often lives in herds, exhibiting strong bonds and cooperative behavior. However, some populations of this species are solitary, relying on their keen senses and alertness to elude predators.

",Antelope
5,"This slender ungulate boasts a graceful form, with long legs and a delicate neck. Its fur can range from reddish-brown to gray, sometimes marked with white spots. It has small, straight or slightly curved horns on its head, adding to its beauty. Its slender frame makes it a fast runner, one of the quickest land mammals.

Its diet is primarily vegetation, including grasses, leaves, shoots, and sometimes bark, fruit, or seeds.

It inhabits a wide range of habitats, including grasslands, savannas, and deserts, and is well adapted to both hot and arid conditions.

This mammal is known for its speed and dexterity, able to run at high speeds over short distances. It has a social disposition and often lives in groups, exhibiting strong bonds and cooperative behavior. However, some populations of this species are solitary and rely on their sharp senses and alertness to avoid predators.

",Antelope
6,"This slender-bodied ungulate boasts long legs and a delicate neck. Its fur can range from reddish-brown to gray, sometimes marked with white spots. Its head is adorned with small, straight or slightly curved horns, enhancing its beauty. Its slim build allows it to be one of the fastest runners on land.

Its diet primarily consists of various types of vegetation, including grasses, leaves, shoots, and on occasion, bark, fruit, or seeds.

It inhabits diverse habitats, including grasslands, savannas, and deserts, and has adaptations to thrive in hot and arid climates.

This mammal is famous for its speed and agility, capable of running at high speeds over short distances. It has a social temperament and often lives in herds, exhibiting close bonds and cooperative behavior. Some populations of this species, however, are solitary, relying on their keen senses and alertness to evade predators.

",Antelope
7,"This slender-bodied mammal has long legs and a graceful neck. Its coat can vary from a reddish-brown to gray color and may have white markings. On its head, it has small horns that are either straight or slightly curved, adding to its beauty. With its slim build, it is one of the fastest runners on land.

Its diet mainly consists of various types of vegetation, including grasses, leaves, shoots, and occasionally bark, fruit, or seeds.

It inhabits various environments such as grasslands, savannas, and deserts and is well adapted to both hot and arid climates.

This mammal is known for its speed and nimbleness, capable of running at high speeds over short distances. It tends to live in herds and is social in nature, exhibiting strong bonds and cooperative behavior. Some populations, however, live a solitary lifestyle, relying on their sharp senses and alertness to escape predators.

",Antelope
8,"This graceful ungulate boasts long legs and a slender neck. Its coat ranges from reddish-brown to gray and may have white spots. It has small, straight or slightly curved horns on its head, adding to its beauty. Its slender build allows it to be a fast runner, one of the quickest on land.

Its diet mainly consists of vegetation such as grasses, leaves, shoots, and sometimes bark, fruit, or seeds.

It lives in various habitats including grasslands, savannas, and deserts, and is well adapted to hot and arid conditions.

This mammal is known for its speed and agility, capable of running at high speeds over short distances. It tends to live in groups and exhibit strong social bonds and cooperative behavior. Some populations, however, live a solitary lifestyle and rely on their sharp senses and alertness to evade predators.

",Antelope
9,"This slender-bodied ungulate has long legs and a graceful neck. Its fur can range from reddish-brown to gray and may be marked with white spots. On its head, it sports small horns that are either straight or slightly curved, enhancing its beauty. Its slim build allows it to be one of the fastest runners on land.

Its diet primarily consists of different types of vegetation including grasses, leaves, shoots, and occasionally, bark, fruit, or seeds.

It can be found in a variety of habitats, including grasslands, savannas, and deserts, and has adaptations to thrive in hot and arid conditions.

This mammal is well known for its speed and agility, capable of running at high speeds over short distances. It often lives in herds and has a social temperament, exhibiting close bonds and cooperative behavior. Some populations, however, are solitary, relying on their keen senses and alertness to avoid danger.

",Antelope
10,"This large, semiaquatic rodent has a distinctive flat tail and webbed hind feet. Its dense, waterproof fur ranges in color from reddish-brown to dark brown. It has a wide, heavy head with large incisors that it uses to gnaw down trees and build dams.

This creature is primarily herbivorous, feeding on the bark, leaves, and twigs of trees and shrubs. It also stores food in its lodge for later consumption.

It resides in freshwater environments, such as rivers, lakes, and streams, building lodges and dams to create a habitat that meets its needs. These structures provide protection from predators and regulate water flow for easier access to food.

This animal is known for its ability to alter its environment, and is an active builder, constructing lodges and dams from branches and mud. Its lodges serve as its home and provide protection from predators and inclement weather. It is also a nocturnal creature, and is most active during the night.

",beaver
11,"This large, semiaquatic rodent has a flat, wide tail and webbed hind feet. Its dense, waterproof fur ranges from reddish-brown to dark brown in color. Its head is wide and heavy, with large incisors used for gnawing trees and building dams.

Its diet primarily consists of the bark, leaves, and twigs of trees and shrubs. It is known to store food for later consumption.

This creature resides in freshwater habitats such as rivers, lakes, and streams, where it builds lodges and dams to create a suitable environment. These structures provide protection and regulate water flow for easier access to food.

This animal is recognized for its construction skills and ability to modify its environment. It builds lodges and dams using branches and mud, and its lodges serve as a home and provide protection from predators and harsh weather. This mammal is primarily nocturnal, most active during the night.

",beaver
12,"This aquatic rodent has a broad, flat tail and feet with webbed toes. Its fur is dense and waterproof, with a hue ranging from reddish-brown to dark brown. It has a distinctive head with large incisors that it employs to cut down trees and construct barriers.

It feeds on the bark, leaves, and twigs of trees and shrubs, and stores food for later consumption.

This animal lives in freshwater habitats like rivers, lakes, and streams, where it builds lodges and dams to create a suitable environment. These structures provide safety from predators and regulate water flow for easier access to food.

This creature is well-known for its building abilities and its impact on its surroundings. It creates lodges and dams using branches and mud, and its lodges serve as a home and provide protection from danger and unfavorable weather conditions. This mammal has a nocturnal lifestyle and is most active during nighttime hours.

",beaver
